web-scraper-order,web-scraper-start-url,news-link,news-link-href
"1677582765-321","https://turnbackhoax.id/page/100","[SALAH] “Pada Tanggal 29 & 30 Februari, Akan Diadakan Pengisian BBM Gratis di SPBU”","https://turnbackhoax.id/2022/02/11/salah-pada-tanggal-29-30-februari-akan-diadakan-pengisian-bbm-gratis-di-spbu/"
"1677582765-322","https://turnbackhoax.id/page/100","[SALAH]: Kartu BPJS Atau KIS Akan Dinonaktifkan Jika Tidak Digunakan Selama Setahun Terakhir","https://turnbackhoax.id/2022/02/11/salah-kartu-bpjs-atau-kis-akan-dinonaktifkan-jika-tidak-digunakan-selama-setahun-terakhir/"
"1677582765-323","https://turnbackhoax.id/page/100","[SALAH] Sendok untuk Medical Check Up","https://turnbackhoax.id/2022/02/11/salah-sendok-untuk-medical-check-up/"
"1677582765-324","https://turnbackhoax.id/page/100","[SALAH] Judul Berita Jatim.suara.com “Setelah Polres Pamekasan Dikepung Warga, Polisi Pilih Bebaskan Habib Yusuf Alkaf Terduga Dalam Kasus Pencabulan”","https://turnbackhoax.id/2022/02/10/salah-judul-berita-jatim-suara-com-setelah-polres-pamekasan-dikepung-warga-polisi-pilih-bebaskan-habib-yusuf-alkaf-terduga-dalam-kasus-pencabulan/"
"1677582765-325","https://turnbackhoax.id/page/100","[SALAH] Foto “Wanita yang Menikahi Lima Suami”","https://turnbackhoax.id/2022/02/10/salah-foto-wanita-yang-menikahi-lima-suami/"
"1677582765-326","https://turnbackhoax.id/page/100","[SALAH] Sebuah Koran Menyebut Bill Gates Melakukan Depopulasi Melalui Pemaksaan Vaksinasi","https://turnbackhoax.id/2022/02/10/salah-sebuah-koran-menyebut-bill-gates-melakukan-depopulasi-melalui-pemaksaan-vaksinasi/"
"1677582765-327","https://turnbackhoax.id/page/100","[SALAH] Judul Berita Tribunnews “Peneliti Jepang Ingatkan Indonesia Bisa Berantakan Gara-gara Kadrun”","https://turnbackhoax.id/2022/02/10/salah-judul-berita-tribunnews-peneliti-jepang-ingatkan-indonesia-bisa-berantakan-gara-gara-kadrun/"
"1677582765-328","https://turnbackhoax.id/page/100","[SALAH] Joni Mitchell, Paul McCartney, Willie Nelson, Bruce Springsteen, Barbra Streisand, Queen, The Rolling Stones, Dave Grohl dan Pearl Jam Menarik Lagu-Lagunya dari Spotify","https://turnbackhoax.id/2022/02/10/salah-joni-mitchell-paul-mccartney-willie-nelson-bruce-springsteen-barbra-streisand-queen-the-rolling-stones-dave-grohl-dan-pearl-jam-menarik-lagu-lagunya-dari-spotify/"
"1677582765-329","https://turnbackhoax.id/page/100","[SALAH] Pembagian Masker Gratis yang Diberi Obat Bius ke Rumah-Rumah Warga","https://turnbackhoax.id/2022/02/10/salah-pembagian-masker-gratis-yang-diberi-obat-bius-ke-rumah-rumah-warga/"
"1677582765-330","https://turnbackhoax.id/page/100","[SALAH] Video “Nigeria, Minggu 23-01-2022, menghancurkan jutaan Vaksin Covid19 demi melindungi rakyatnya dari kematian akibat Suntikan Vaksin Covid19”","https://turnbackhoax.id/2022/02/10/salah-video-nigeria-minggu-23-01-2022-menghancurkan-jutaan-vaksin-covid19-demi-melindungi-rakyatnya-dari-kematian-akibat-suntikan-vaksin-covid19/"
